ridge,train_r2,train_mse,coeff_norm,condition_number,effective_rank,case_idx,target,target_family,model,noise
1e-08,0.9999999999999998,2.814287438089756e-17,7.2490693246431634,3.6040785649606883,12.206720443334543,7,j2_time_curvature,J2,full_j2,0.0
1e-06,0.9999999999977239,2.814267506067344e-13,7.249052990043505,3.6040785649606883,12.206720443334543,7,j2_time_curvature,J2,full_j2,0.0
1e-12,0.5646845692795217,0.0538244570685845,4.994269680143964,2.3990803743296625,6.669419622823753,7,j2_time_curvature,J2,directional_j2_one,0.0
1e-10,0.5646845692795217,0.0538244570685845,4.9942696793628425,2.3990803743296625,6.669419622823753,7,j2_time_curvature,J2,directional_j2_one,0.0
1e-08,0.5646845692795216,0.05382445706858451,4.994269601250556,2.3990803743296625,6.669419622823753,7,j2_time_curvature,J2,directional_j2_one,0.0
1e-06,0.5646845692787719,0.05382445706867721,4.994261790046992,2.3990803743296625,6.669419622823753,7,j2_time_curvature,J2,directional_j2_one,0.0
1e-12,0.9467059195949087,0.00658953195852928,7.053258635776263,1.0000000000000029,13.0,7,j2_time_curvature,J2,dct_matched13,0.0
1e-10,0.9467059195949086,0.006589531958529281,7.053258635077991,1.0000000000000029,13.0,7,j2_time_curvature,J2,dct_matched13,0.0
1e-08,0.9467059195949086,0.006589531958529293,7.053258565250731,1.0000000000000029,13.0,7,j2_time_curvature,J2,dct_matched13,0.0
1e-06,0.9467059195939619,0.006589531958646336,7.053251582531734,1.0000000000000029,13.0,7,j2_time_curvature,J2,dct_matched13,0.0
1e-12,0.01255023170498304,0.12209295584356733,1.5902828540654483,4.644206429636391,11.90584515507089,7,j2_time_curvature,J2,coord_shuffle_full_j2,0.0
1e-10,0.012550231704982928,0.12209295584356734,1.5902828532877171,4.644206429636391,11.90584515507089,7,j2_time_curvature,J2,coord_shuffle_full_j2,0.0
1e-08,0.012550231704982817,0.12209295584356736,1.5902827755144668,4.644206429636391,11.90584515507089,7,j2_time_curvature,J2,coord_shuffle_full_j2,0.0
1e-06,0.01255023170474523,0.12209295584359674,1.5902749982329378,4.644206429636391,11.90584515507089,7,j2_time_curvature,J2,coord_shuffle_full_j2,0.0
1e-12,0.22898955377701702,0.09547320891888764,3.4714701828892727,1.1429230449251742,4.995551150153887,7,j2_time_curvature,J2,axis_j0,0.01
1e-10,0.22898955377701713,0.09547320891888762,3.4714701825455974,1.1429230449251742,4.995551150153887,7,j2_time_curvature,J2,axis_j0,0.01
1e-08,0.22898955377701702,0.09547320891888764,3.4714701481780397,1.1429230449251742,4.995551150153887,7,j2_time_curvature,J2,axis_j0,0.01
1e-06,0.2289895537767881,0.09547320891891599,3.4714667114258,1.1429230449251742,4.995551150153887,7,j2_time_curvature,J2,axis_j0,0.01
1e-12,0.5601812999871311,0.054462170828510494,5.4296220837145155,1.0040366077456808,2.999995942844526,7,j2_time_curvature,J2,toric_j0_single,0.01
1e-10,0.5601812999871312,0.05446217082851049,5.429622083176984,1.0040366077456808,2.999995942844526,7,j2_time_curvature,J2,toric_j0_single,0.01
1e-08,0.560181299987131,0.0544621708285105,5.429622029423726,1.0040366077456808,2.999995942844526,7,j2_time_curvature,J2,toric_j0_single,0.01
1e-06,0.560181299986571,0.054462170828579855,5.429616654103321,1.0040366077456808,2.999995942844526,7,j2_time_curvature,J2,toric_j0_single,0.01
1e-12,0.006494464438923653,0.12302448303179232,0.6088252095303257,1.2031741084560474,12.97924510649851,7,j2_time_curvature,J2,toric_j0_generic_matched13,0.01
1e-10,0.006494464438923653,0.12302448303179232,0.6088252094644995,1.2031741084560474,12.97924510649851,7,j2_time_curvature,J2,toric_j0_generic_matched13,0.01
1e-08,0.006494464438923653,0.12302448303179232,0.608825202881865,1.2031741084560474,12.97924510649851,7,j2_time_curvature,J2,toric_j0_generic_matched13,0.01
1e-06,0.00649446443891577,0.1230244830317933,0.6088245446191566,1.2031741084560474,12.97924510649851,7,j2_time_curvature,J2,toric_j0_generic_matched13,0.01
1e-12,0.9997816712928876,2.7035356484779363e-05,58.660460674090096,31.477440369777803,8.30105842665403,7,j2_time_curvature,J2,toric_j0_cluster_matched13,0.01
1e-10,0.9997816712928875,2.70353564847946e-05,58.66045958771326,31.477440369777803,8.30105842665403,7,j2_time_curvature,J2,toric_j0_cluster_matched13,0.01
1e-08,0.9997816712916645,2.7035356636240147e-05,58.660350950249615,31.477440369777803,8.30105842665403,7,j2_time_curvature,J2,toric_j0_cluster_matched13,0.01
1e-06,0.9997816590663835,2.7036870476693066e-05,58.64948953336047,31.477440369777803,8.30105842665403,7,j2_time_curvature,J2,toric_j0_cluster_matched13,0.01
1e-12,0.5603745972854461,0.05443823507843617,5.429741151703291,1.0724208057412667,6.998673001393284,7,j2_time_curvature,J2,full_j1,0.01
1e-10,0.5603745972854461,0.05443823507843617,5.429741151165862,1.0724208057412667,6.998673001393284,7,j2_time_curvature,J2,full_j1,0.01
1e-08,0.5603745972854461,0.05443823507843617,5.429741097422854,1.0724208057412667,6.998673001393284,7,j2_time_curvature,J2,full_j1,0.01
1e-06,0.560374597284886,0.05443823507850552,5.429735723127394,1.0724208057412667,6.998673001393284,7,j2_time_curvature,J2,full_j1,0.01
1e-12,0.9999080003507366,1.1392195498277769e-05,7.252037776277267,3.6040785649606883,12.206720443334543,7,j2_time_curvature,J2,full_j2,0.01
1e-10,0.9999080003507366,1.1392195498277779e-05,7.252037774643683,3.6040785649606883,12.206720443334543,7,j2_time_curvature,J2,full_j2,0.01
1e-08,0.9999080003507363,1.139219549830593e-05,7.2520376112849645,3.6040785649606883,12.206720443334543,7,j2_time_curvature,J2,full_j2,0.01
1e-06,0.9999080003484628,1.1392195779840477e-05,7.252021275482659,3.6040785649606883,12.206720443334543,7,j2_time_curvature,J2,full_j2,0.01
1e-12,0.5648795526217709,0.053880392387585255,5.00041603156944,2.3990803743296625,6.669419622823753,7,j2_time_curvature,J2,directional_j2_one,0.01
1e-10,0.5648795526217709,0.053880392387585255,5.000416030786654,2.3990803743296625,6.669419622823753,7,j2_time_curvature,J2,directional_j2_one,0.01
1e-08,0.5648795526217707,0.05388039238758527,5.000415952508051,2.3990803743296625,6.669419622823753,7,j2_time_curvature,J2,directional_j2_one,0.01
1e-06,0.5648795526210195,0.05388039238767829,5.000408124672855,2.3990803743296625,6.669419622823753,7,j2_time_curvature,J2,directional_j2_one,0.01
1e-12,0.9467005988579513,0.006599994702295798,7.058485743086495,1.0000000000000029,13.0,7,j2_time_curvature,J2,dct_matched13,0.01
1e-10,0.9467005988579513,0.006599994702295798,7.058485742387705,1.0000000000000029,13.0,7,j2_time_curvature,J2,dct_matched13,0.01
1e-08,0.9467005988579512,0.0065999947022958114,7.058485672508697,1.0000000000000029,13.0,7,j2_time_curvature,J2,dct_matched13,0.01
1e-06,0.9467005988570046,0.006599994702413027,7.05847868461487,1.0000000000000029,13.0,7,j2_time_curvature,J2,dct_matched13,0.01
