case_idx,target,target_family,model,noise,num_features,selected_ridge,condition_number,effective_rank,coeff_norm,r2_vis_clean,r2_vis_train,r2_full,r2_ext,heldout_rms,ext_outer_rms,ext_outer_pred_rms,max_abs_ext_pred,omega_t,omega_f,dir_t,dir_f
10,j2_directional_packet,J2,directional_j2_one,0.01,7,1e-06,2.346255739237937,6.685846891273373,8.348086684625383,0.99999830795257,0.9999047571881109,0.9999988914347517,0.9999990567945787,0.0010983954905393978,0.0018882352149951092,1.9845896205632774,6.28127364570119,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,dct_matched13,0.01,13,1e-06,1.0000000000000029,13.0,8.20649465219068,0.9651915809852551,0.9652150695495076,0.21934709874544345,0.1095362773487284,1.005550314532979,1.9016118989942674,0.27932510139020167,1.7981613947514539,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,j2_directional_packet,J2,coord_shuffle_full_j2,0.01,13,1e-06,3.7002270555407684,12.158476211486464,2.954233481948209,0.04726262469466258,0.04751906597220201,0.03409901315058972,-0.007377423314277376,1.0602080452413003,2.0032701533263415,0.09795517779859192,0.3954055518960454,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,mix_j0_j1_j2,mixture,axis_j0,0.0,5,1e-06,1.3553469480298306,4.977280268546204,2.258454366263391,0.09109326139319007,0.09109326139319007,-0.043729767051563506,-0.11136303810020354,0.46622458375283715,0.6063278707490058,0.11187610442556331,0.22537522863786352,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,mix_j0_j1_j2,mixture,toric_j0_single,0.0,3,1e-06,1.007376097127327,2.9999864980881585,6.489340877988706,0.7917401374955495,0.7917401374955495,0.6142227027689426,0.44587187447154075,0.3063968403727404,0.4610233343346302,0.315788727510396,0.4626184810536997,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,mix_j0_j1_j2,mixture,toric_j0_generic_matched13,0.0,13,1e-06,1.2031741084560474,12.97924510649851,3.673859312421373,0.24044917763767648,0.24044917763767648,-0.12506300892890065,-0.25231380941024706,0.5075908158194782,0.6521844108987415,0.17872770648298608,0.35745534348575103,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,mix_j0_j1_j2,mixture,toric_j0_cluster_matched13,0.0,13,1e-06,30.914216144251675,8.287122299140506,7.327628612181212,0.9972371276922699,0.9972371276922699,0.972737226632781,0.8637213835490246,0.08889264977287212,0.25875842673859334,0.3860516526302204,0.6899049158909747,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,mix_j0_j1_j2,mixture,full_j1,0.0,7,1e-06,1.1724183564280148,6.9931799122749,7.252311925652777,0.9793546811209167,0.9793546811209167,0.9217297382916704,0.8279761813993352,0.1460757201946329,0.2738485709816923,0.49392218685782546,0.8539696896858378,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,mix_j0_j1_j2,mixture,full_j2,0.0,13,1e-06,3.699648343332712,12.183998578443056,7.344227634180679,0.9999999999968965,0.9999999999968965,0.999999999988743,0.9999999999635172,1.7477572000519964e-06,4.130962689322633e-06,0.5640026286849199,1.3671299248411342,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
10,mix_j0_j1_j2,mixture,directional_j2_one,0.0,7,1e-06,2.346255739237937,6.685846891273373,6.544967047523363,0.954176265220055,0.954176265220055,0.8940673625732816,0.8094756595668713,0.1642666784639129,0.2808532733556972,0.6267149933789753,1.5193757546277402,-0.37922136848079335,0.39,-0.901807716704767,-0.43213752682651246
