checkpoint,method,basis,seed,state,extension,dataset,train_resolution,eval_resolution,train_side,eval_side,patch_size,test_count,score,loss,bias_rms_all,bias_max_all,bias_rms_near_r,bias_max_near_r,bias_rms_beyond_train_radius,bias_max_beyond_train_radius
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,radial_truncate_r4,tiny-imagenet,32,32,8,8,4,10000,0.8408148288726807,0.15962299704551697,0.02930871583521366,0.249940425157547,0.06280439347028732,0.249940425157547,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,functional,tiny-imagenet,32,40,8,10,4,10000,0.8125691413879395,0.19542419910430908,0.035261061042547226,0.29749763011932373,0.05277914181351662,0.2289179116487503,0.012981534004211426,0.29749763011932373
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,no_pos,tiny-imagenet,32,40,8,10,4,10000,0.23949724435806274,0.7915899753570557,0.0,0.0,0.0,0.0,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,table_clamp,tiny-imagenet,32,40,8,10,4,10000,0.8371071815490723,0.16958923637866974,0.031068865209817886,0.30308178067207336,0.06280439347028732,0.24994060397148132,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,radial_truncate_r4,tiny-imagenet,32,40,8,10,4,10000,0.8114094138145447,0.19664394855499268,0.019444946199655533,0.2289179116487503,0.05277914181351662,0.2289179116487503,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,functional,tiny-imagenet,32,48,8,12,4,10000,0.7742193341255188,0.24007916450500488,0.03497425466775894,0.29402124881744385,0.05549009516835213,0.23746106028556824,0.022736920043826103,0.29402124881744385
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,no_pos,tiny-imagenet,32,48,8,12,4,10000,0.24169409275054932,0.8048229217529297,0.0,0.0,0.0,0.0,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,table_clamp,tiny-imagenet,32,48,8,12,4,10000,0.8024553060531616,0.2099561095237732,0.025665583088994026,0.3030816614627838,0.06280439347028732,0.24994070827960968,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,radial_truncate_r4,tiny-imagenet,32,48,8,12,4,10000,0.7748191356658936,0.23946893215179443,0.016888288781046867,0.23746106028556824,0.05549009516835213,0.23746106028556824,0.0,0.0
MetricToric/results/v8_tinyimagenet_relative_10k_3seed/checkpoints/tiny-imagenet_reconstruction_relative_2d_table_seed626_holdoutR4_steps10000_h0_b0_cl20_tail0_g0_constant_s0_r0.pt,relative_table,relative_2d_table,626,best,functional,tiny-imagenet,32,64,8,16,4,10000,0.6538744568824768,0.4117233157157898,0.03528899699449539,0.2899286448955536,0.06449083238840103,0.23361612856388092,0.03130869194865227,0.2899286448955536
