ridge,train_r2,train_mse,coeff_norm,condition_number,effective_rank,layer,head,fit_target,order,phase_chart,jet_chart,chart_scale,num_centers,num_features
1e-08,0.6862724358393328,4.717121094306298e-05,0.7547743729594365,2838359873322.8228,40.55916208406191,0,0,axis_plus_residual,2,asinh,bounded,16.0,8,97
1e-06,0.6862722802510739,4.71712343368843e-05,0.7522803694740376,2838359873322.8228,40.55916208406191,0,0,axis_plus_residual,2,asinh,bounded,16.0,8,97
0.0001,0.6854085491835962,4.730110255707424e-05,0.5681875155840647,2838359873322.8228,40.55916208406191,0,0,axis_plus_residual,2,asinh,bounded,16.0,8,97
0.01,0.6731209642830658,4.914862992010466e-05,0.12861205779315668,2838359873322.8228,40.55916208406191,0,0,axis_plus_residual,2,asinh,bounded,16.0,8,97
1e-08,0.6485066171477702,4.987374858568723e-05,0.06914520386441267,2452342582777.502,40.94228603070919,0,1,axis_plus_residual,1,raw,raw,2.0,17,103
1e-06,0.6485066171451769,4.98737485860552e-05,0.0691447770697771,2452342582777.502,40.94228603070919,0,1,axis_plus_residual,1,raw,raw,2.0,17,103
0.0001,0.6485065912958162,4.98737522538469e-05,0.06910218901766456,2452342582777.502,40.94228603070919,0,1,axis_plus_residual,1,raw,raw,2.0,17,103
0.01,0.6483138616265749,4.9901098859893215e-05,0.06559606141925978,2452342582777.502,40.94228603070919,0,1,axis_plus_residual,1,raw,raw,2.0,17,103
1e-08,0.6485066171477702,4.987374858568723e-05,0.06914520386441267,2452342582777.502,40.94228603070919,0,1,axis_plus_residual,1,raw,raw,4.0,17,103
1e-06,0.6485066171451769,4.98737485860552e-05,0.0691447770697771,2452342582777.502,40.94228603070919,0,1,axis_plus_residual,1,raw,raw,4.0,17,103
0.0001,0.6485065912958162,4.98737522538469e-05,0.06910218901766456,2452342582777.502,40.94228603070919,0,1,axis_plus_residual,1,raw,raw,4.0,17,103
